,Title,URL,CPU,GPU,RAM,Storage,OS,Rating,Rating Count,Price,CPU_COMPANY,CPU_MODEL,CPU_GEN,GPU_COMPANY,GPU_LABEL,GPU_MODEL,GPU_SUFFIX,RAM_GB,RAM_GEN,STORAGE_NUM,STORAGE_UNIT,STORAGE_TYPE,OS_SYSTEM,OS_VERSION,OS_TYPE
0,"Used - Like New ALCPOK Gaming PC Desktop,Prebuilt Gaming Computer with,AMD Ryzen 5 5600X 3.7GHz,RTX5060 8GB GDDR7 DLSS4,32GB DDR4 RAM 3200MHz,1TB NVME SSD,ARGB Cooling Fan,Supply WiFi Support Windows 11",https://www.newegg.com/alcpok-gaming-desktop-pcs-geforce-rtx-5060-amd-ryzen-5-5600x-16gb-2-ddr4-1-tb-ssd-ssd-grx1-black/p/3D5-007G-00002,AMD Ryzen 5 5600X,NVIDIA RTX 5060,32GB DDR4,1TB NVMe,Windows 11,4.1,269,909.0,AMD,Ryzen 5,5600X,NVIDIA,RTX,5060,Base,32,DDR4,1,TB,NVMe,Windows,11,Base
1,"Hoengager Gaming PC -Intel i5 13400F -GeForce RTX 3050 6GB -16GB DDR4 3200MHz- 1TB M.2 SSD -RGB Fans -WIFI &BT ,HDMI- Liquid  Cooler- Windows 11 Desktop -White",https://www.newegg.com/p/3D5-003E-00H23,Intel i5 13400F,NVIDIA RTX 3050,16GB DDR4,1TB SSD,Windows 11,4.1,2,939.0,Intel,i5,13400F,NVIDIA,RTX,3050,Base,16,DDR4,1,TB,SSD,Windows,11,Base
2,"AVGPC Mini Series Gaming PC - Ryzen 5 5600G 3.9 GHz, Integrated Radeon Vega 7, 16GB 3200MHz DDR4, 1TB NVME M.2 SSD, Hyper 212 Cooler, Wifi/AC, NR200 black Case, Windows 10",https://www.newegg.com/avgpc-mini-b-6600xt/p/3D5-002N-00053,AMD Ryzen 5 5600G,Integrated,16GB DDR4,1TB NVMe,Windows 10 Pro,4.3,6,675.0,AMD,Ryzen 5,5600G,Integrated,Integrated,Integrated,Integrated,16,DDR4,1,TB,NVMe,Windows,10,Pro
3,"ViprTech Stryker 1.0 Gaming PC - Intel i5-9400F (4.1GHz Turbo), AMD RX 580 8GB, 16GB DDR4, 500GB SSD, WiFi BT, Win 11 Pro, RGB, Desktop Computer Prebuilt, White",https://www.newegg.com/viprtech-stryker-gaming-desktop-pcs-geforce-gtx-1660-super-intel-core-i5-9400f-16gb-ddr4-512gb-ssd-white/p/3D5-0034-00038,Intel i5 9400F,AMD RX 580,16GB DDR4,500GB SSD,Windows 11 Pro,4.1,1,624.0,Intel,i5,9400F,AMD,RX,580,Base,16,DDR4,500,GB,SSD,Windows,11,Pro
4,HP OMEN 16L Gaming Desktop AMD Ryzen 7 8700F NVIDIA GeForce RTX 5060 16GB DDR5 RGB RAM 1TB Gen 4 SSD Wi-Fi 6 (2x2) Bluetooth 5.4 Mouse and Keyboard RJ45 RGB Front Cooling Fan Windows 11 Home White,https://www.newegg.com/hp-gaming-desktop-pcs-geforce-rtx-5060-amd-ryzen-7-8700f-16gb-ddr5-1tb-ssd-white/p/3D5-0005-04022,AMD Ryzen 7 8700F,NVIDIA RTX 5060,16GB DDR5,1TB SSD,Windows 11 Home,4.1,1,1152.0,AMD,Ryzen 7,8700F,NVIDIA,RTX,5060,Base,16,DDR5,1,TB,SSD,Windows,11,Home
5,"MXZ Gaming PC ,AMD Ryzen 7 7700 , GeForce RTX 4060,16GB DDR5 6000MHz, NVME M2 1TB SSD, 6RGB Fans, Windows 11 Pro Ready to use, Gamer Desktop Computer(R7 7700| RTX4060)",https://www.newegg.com/mxz-gaming-desktop-geforce-rtx-4060-amd-ryzen-7-7700-16gb-ddr5-1tb-ssd/p/3D5-002D-000A5,AMD Ryzen 7 7700,NVIDIA RTX 4060,16GB DDR5,1TB NVMe,Windows 11 Pro,4.1,6,1239.0,AMD,Ryzen 7,7700,NVIDIA,RTX,4060,Base,16,DDR5,1,TB,NVMe,Windows,11,Pro
6,"MXZ High Performance Gaming PC, AMD Ryzen 5 7500F,GeForce RTX 4060, B650,16GB DDR5,1TB NVME, 5 RGB Fans, Windows 11 Pro Ready to use (R5 7500F| RTX 4060)",https://www.newegg.com/p/3D5-002D-000C1,AMD Ryzen 5 7500F,NVIDIA RTX 4060,16GB DDR5,1TB NVMe,Windows 11 Pro,4.1,5,1199.0,AMD,Ryzen 5,7500F,NVIDIA,RTX,4060,Base,16,DDR5,1,TB,NVMe,Windows,11,Pro
7,"ViprTech Avalanche 2.0 Gaming PC Computer Desktop - AMD Ryzen 7 (4.1Ghz Turbo), AMD Radeon RX 580 8GB, 16GB DDR4 RAM, 500GB SSD, RGB, WiFi BT, White",https://www.newegg.com/viprtech-gaming-desktop-amd-radeon-rx-580-amd-ryzen-7-2700-32gb-ddr4-1tb-pcie-ssd-white/p/3D5-0034-00026,AMD Ryzen 7,AMD RX 580,16GB DDR4,500GB SSD,Windows 11,4.1,19,624.0,AMD,Ryzen 7,Base,AMD,RX,580,Base,16,DDR4,500,GB,SSD,Windows,11,Base
8,Refurbished iBUYPOWER Slate Gaming Desktop Intel Core i7 14700F NVIDIA GeForce RTX 4060 32GB RAM 1TB NVMe SSD Windows 11 Home (SMI7N4601),https://www.newegg.com/p/3D5-0007-00J79,Intel i7 14700F,NVIDIA RTX 4060,32GB DDR4,1TB NVMe,Windows 11 Home,4.1,4,999.0,Intel,i7,14700F,NVIDIA,RTX,4060,Base,32,DDR4,1,TB,NVMe,Windows,11,Home
9,Yeyian Gaming Desktop YPI-YA24F0B-46T1N Intel Core i5-12400F 16GB DDR4 1TB PCIe SSD GeForce RTX 4060 Ti Windows 11 Home 64-bit,https://www.newegg.com/yeyian-gaming-desktop-geforce-rtx-4060-ti-intel-core-i5-12400f-16gb-ddr4-1tb-pcie-ssd-ypi-ya24f0b-46t1n-black/p/N82E16883630030,Intel i5 12400F,NVIDIA RTX 4060 Ti,16GB DDR4,1TB SSD,Windows 11 Home,4.1,2,1099.0,Intel,i5,12400F,NVIDIA,RTX,4060,Ti,16,DDR4,1,TB,SSD,Windows,11,Home
10,YEAH MAGIC Astral S1 Gaming Desktop AMD Ryzen 5 5600GT (6 core up to 4.6GHz) 16GB DDR4 3200MHz 1TB NVMe SSD 650W Gold PSU Windows 11 Home WIFI Gaming PC with 7 ARGB Fans,https://www.newegg.com/p/1VK-02B4-00018,AMD Ryzen 5 5600GT,Integrated,16GB DDR4,1TB NVMe,Windows 11 Home,4.6,5,649.0,AMD,Ryzen 5,5600GT,Integrated,Integrated,Integrated,Integrated,16,DDR4,1,TB,NVMe,Windows,11,Home
11,"GenMachine Mini PC AMD Ryzen 5 5500U,16GB RAM 512GB M.2 NVMe SSD,AMD Radeon Graphics,2 x 4K Output, 2 x HDMI Ports,2 x USB 3.0,1 x Type-C,Wifi6,Bluetooth5.2,Windows 10 Pro Desktop Computer",https://www.newegg.com/genmachine-ren5000-barebone-systems-mini-pc-amd-ryzen-5-5500u/p/2SW-0090-00066,AMD Ryzen 5 5500U,Integrated,16GB DDR4,512GB SSD,Windows 10 Pro,4.1,2,379.0,AMD,Ryzen 5,5500U,Integrated,Integrated,Integrated,Integrated,16,DDR4,512,GB,SSD,Windows,10,Pro
12,YEAH MAGIC Astral  S1 Gaming Desktop AMD Ryzen 5 5600GT 3.9GHz 16GB(8G*2) DDR4 3200 1T NVME SSD 7 ARGB Fan*7 Win 11 Home WIFI Gamer Desktop Computer Office Work 650W Gold PSU Black,https://www.newegg.com/yeah-magic-gaming-desktop-radeon-graphics-amd-ryzen-5-5600gt-16gb-ddr4-1tb-ssd-black/p/3D5-0069-00029,AMD Ryzen 5 5600GT,Integrated,16GB DDR4,1TB NVMe,Windows 11 Home,4.1,9,649.0,AMD,Ryzen 5,5600GT,Integrated,Integrated,Integrated,Integrated,16,DDR4,1,TB,NVMe,Windows,11,Home
13,"Cobratype Canebrake Gaming PC - AMD Ryzen 5 5500, RTX 3060, 16GB DDR4 RAM, 512GB NVMe, Windows 11 Home - Gaming Desktop",https://www.newegg.com/cobratype-gaming-desktop-geforce-rtx-3060-amd-ryzen-5-5500-16gb-ddr4-512gb-pcie-ssd-canebrake-white/p/3D5-000D-001W0,AMD Ryzen 5 5500,NVIDIA RTX 3060,16GB DDR4,512GB NVMe,Windows 11 Home,4.3,13,959.0,AMD,Ryzen 5,5500,NVIDIA,RTX,3060,Base,16,DDR4,512,GB,NVMe,Windows,11,Home
14,"msi Codex Z2 Gaming Desktop: AMD R7-8700F, GeForce RTX 5070, 32GB DDR5, 2TB m.2 NVMe SSD, USB Type-C, VR-Ready, Windows 11 Home : A8NVP-436US",https://www.amazon.com/MSI-Codex-Gaming-Desktop-A8NVP-436US/dp/B0F15TM77B/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-3,AMD Ryzen 7 8700F,NVIDIA RTX 5070,32GB DDR5,2TB SSD,Windows 11 Home,4.3,234,1886.0,AMD,Ryzen 7,8700F,NVIDIA,RTX,5070,Base,32,DDR5,2,TB,SSD,Windows,11,Home
15,"CyberPowerPC Gamer Master Gaming PC, AMD Ryzen 7 8700F 4.1GHz, GeForce RTX 5060 Ti 8GB, 16GB DDR5, 1TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GMA2900A2)",https://www.amazon.com/CyberPowerPC-Master-GeForce-Windows-GMA2900A2/dp/B0DW4BK2TW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-4,AMD Ryzen 7 8700F,NVIDIA RTX 5060 Ti,16GB DDR5,1TB SSD,Windows 11 Home,4.0,1380,1189.0,AMD,Ryzen 7,8700F,NVIDIA,RTX,5060,Ti,16,DDR5,1,TB,SSD,Windows,11,Home
16,"STGAubron Gaming PC Computer Desktop, Intel Core i5 up to 3.6G, Radeon RX 550, 16G RAM, 512G SSD, WiFi 6, BT 5.0, RGB Fan x2, Windows 11 Home",https://www.amazon.com/STGAubron-Gaming-Computer-Desktop-Windows/dp/B0F9ZQHJZJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-5,Intel i5,AMD RX 550,16GB DDR4,512GB SSD,Windows 11 Home,4.1,8,408.0,Intel,i5,Base,AMD,RX,550,Base,16,DDR4,512,GB,SSD,Windows,11,Home
17,"iBUYPOWER Y40 PRO Black Gaming PC Desktop Computer AMD Ryzen 9 7900X CPU, NVIDIA GeForce RTX 5070Ti 16GB GPU, 32GB DDR5 RGB 5200MHz RAM, 2TB NVMe SSD, Windows 11 Home, Keyboard, Mouse - Y40BA9N57T01",https://www.amazon.com/iBUYPOWER-Desktop-Computer-GeForce-Keyboard/dp/B0DWHN5R8W/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-6,AMD Ryzen 9 7900X,NVIDIA RTX 5070 Ti,32GB DDR5,2TB NVMe,Windows 11 Home,4.2,4012,2299.0,AMD,Ryzen 9,7900X,NVIDIA,RTX,5070,Ti,32,DDR5,2,TB,NVMe,Windows,11,Home
18,"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i5-13400F 2.5GHz, GeForce RTX 5060 8GB, 16GB DDR5, 1TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GXiVR8060A40)",https://www.amazon.com/CyberPowerPC-i5-13400F-GeForce-Windows-GXiVR8060A40/dp/B0DW4BY993/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-8,Intel i5 13400F,NVIDIA RTX 5060,16GB DDR5,1TB SSD,Windows 11 Home,4.7,483,974.0,Intel,i5,13400F,NVIDIA,RTX,5060,Base,16,DDR5,1,TB,SSD,Windows,11,Home
19,"ASUS ROG G700 (2025) Gaming Desktop PC, Intel® Core™ Ultra 7 265KF Processor, NVIDIA® GeForce RTX™ 5070, 1TB M.2 NVMe™ PCIe® 4 SSD, 32GB DDR5 RAM, Windows 11 Home, G700TF-MS776",https://www.amazon.com/ASUS-Desktop-Processor-NVIDIA%C2%AE-G700TF-MS776/dp/B0FVQYBVGP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-9,Intel Ultra 7 265KF,NVIDIA RTX 5070,32GB DDR5,1TB SSD,Windows 11 Home,4.3,101,1899.0,Intel,Ultra 7,265KF,NVIDIA,RTX,5070,Base,32,DDR5,1,TB,SSD,Windows,11,Home
20,"Skytech Gaming Archangel 5 Gaming PC, AMD Ryzen 7 7700 3.8GHz, NVIDIA RTX 5060, 1TB NVMe SSD, 32GB DDR5 RAM 6000, 750W Gold PSU, Wi-Fi, Win 11, Desktop",https://www.amazon.com/Skytech-Gaming-Archangel-3-8GHz-Desktop/dp/B0G2RDPG87/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-10,AMD Ryzen 7 7700,NVIDIA RTX 5060,32GB DDR5,1TB NVMe,Windows 11,4.0,931,1499.0,AMD,Ryzen 7,7700,NVIDIA,RTX,5060,Base,32,DDR5,1,TB,NVMe,Windows,11,Base
21,"Prebuilt Gaming PC Desktop Computer,Intel Core i7 Desktop,Operating at A Frequency of 3.4-3.9 GHz,RX590 Graphics Card with 8GB GDDR5 Video Memory,16GB RAM, 512GB SSD,WiFi 5.0,RGB Fan x4",https://www.amazon.com/Prebuilt-Computer-Operating-Frequency-Graphics/dp/B0F1M9NZ91/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-11,Intel i7,Integrated,16GB DDR4,512GB SSD,Windows 11,4.0,204,499.0,Intel,i7,Base,Integrated,Integrated,Integrated,Integrated,16,DDR4,512,GB,SSD,Windows,11,Base
22,"CYBERPOWERPC Gamer Master Gaming PC, AMD Ryzen 5 5500 3.6GHz, Radeon RX 6400 4GB, 16GB DDR4, 500GB PCIe Gen4 SSD, WiFi Ready & Windows 11 Home (GMA3100A)",https://www.amazon.com/CyberPowerPC-Master-Gaming-Windows-GMA3100A/dp/B0DCMH6T7X/ref=sr_1_13?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9P0twv7LBRHMSOMbo9rpk8YH-CmE9Gkgj-TEH3IRmTQ6-fd7v15Txjn4EL7yla7Wg9X3zVbZj6bFtaMb2qIfzDRpb-4y-hxRNQ-T9NLruXWUBOtS8P-ncTJkzHtUIa3omcpYQSekqe7huE9ttsKZ-LBgCiA6-qZbgfawBx-5mZHoI-3VFsTCS_FF7dccHrPTLq-AMGqfLRYnoOHdsjO8ipg.Ntc6_0pov3nhGf6zAi7EB0EmzokUfUH4wipwgQiMTJw&dib_tag=se&keywords=pre+built+pc+gaming&qid=1770869741&refinements=p_36%3A-250000&sr=8-13,AMD Ryzen 5 5500,AMD RX 6400,16GB DDR4,500GB SSD,Windows 11 Home,4.0,1380,719.0,AMD,Ryzen 5,5500,AMD,RX,6400,Base,16,DDR4,500,GB,SSD,Windows,11,Home
